filename/tiff,derivative filename/jpeg,identifier/filename,title,description,isFormatOf/OrigItemNo.,date,subject,subject/location,extent/size,medium/format/type,source/RG#/MS#,isPartOf/Collection,creator/photographer,contributor/collector,rights,language,rosetta collection
130815-2-01.mov,130815-2-01.mp4,130815-2-01,"Cornhusker Marching Band, reel 2.01","Notations on reel canister: ""WOW TV Omaha Nebraska #10392."" ",,1954,"Military, Band, R.O.T.C. Cadet; Marching Band (Musical group); ",,16mm,Film: 16mm Safety Film,RG13-08-15,"Cornhusker Marching Band, Records",Unknown,,"For copyright information, please contact the repository.",,rg/rg13/rg13-08-15
130815-2-02.avi,130815-2-02.mp4,130815-2-02,"Cornhusker Marching Band, reel 2.02","Notations on reel canister: ""#2 Band 1927, 28, 29. 1st segment, up to date block (1928) from NYU game of 1927. 2nd segment, date block to 'American Legion Drum…' from Missouri game of 1928. 3rd segment, 'American Legion…' from Pittsburg game of 1930.""",,1928/1930,"Military, Band, R.O.T.C. Cadet; Marching Band (Musical group); ",,16mm,Film: 16mm Safety Film,RG13-08-15,"Cornhusker Marching Band, Records",Unknown,,"For copyright information, please contact the repository.",,rg/rg13/rg13-08-15
130815-2-03.avi,130815-2-03.mp4,130815-2-03,"Cornhusker Marching Band, reel 2.03","Notations on reel canister: ""Band 1952 & misc. LIST: Game shots; spectators entering; Cheerleaders; Crowd shots; Band lining up, marching off, playing; Step off from sidelines (reversed); Homecoming halftime show (reversed); Homecoming halftime show (reversed)""",,1952,"Military, Band, R.O.T.C. Cadet; Marching Band (Musical group); ",,16mm,Film: 16mm Safety Film,RG13-08-15,"Cornhusker Marching Band, Records",Unknown,,"For copyright information, please contact the repository.",,rg/rg13/rg13-08-15
130815-2-04.avi,130815-2-04.mp4,130815-2-04,"Cornhusker Marching Band, reel 2.04","Notations on reel canister: ""Football inserts BG Color Orig. Crowd, Band, etc. Band 1952 sideline & sitting.""",,1952,"Military, Band, R.O.T.C. Cadet; Marching Band (Musical group); ",,16mm,Film: 16mm Safety Film,RG13-08-15,"Cornhusker Marching Band, Records",Unknown,,"For copyright information, please contact the repository.",,rg/rg13/rg13-08-15
130815-2-05.avi,130815-2-05.mp4,130815-2-05,"Cornhusker Marching Band, reel 2.05","Notations on reel canister: ""Football Background W.P. Color Moto Productions, Motion Picture Unit, Univ. of Nebraska, West Stadium, Lincoln, NE.""",,1952,"Military, Band, R.O.T.C. Cadet; Marching Band (Musical group); ",,16mm,Film: 16mm Safety Film,RG13-08-15,"Cornhusker Marching Band, Records",Unknown,,"For copyright information, please contact the repository.",,rg/rg13/rg13-08-15
130815-2-06.avi,130815-2-06.mp4,130815-2-06,"Cornhusker Marching Band, reel 2.06","Notations on reel canister: ""A TEL RA Production Nebraska Bowl. Liberty Bowl 1977 Print #2.""",,1977,"Military, Band, R.O.T.C. Cadet; Marching Band (Musical group); ",,16mm,Film: 16mm Safety Film,RG13-08-15,"Cornhusker Marching Band, Records",Unknown,,"For copyright information, please contact the repository.",,rg/rg13/rg13-08-15
130815-2-07.avi,130815-2-07.mp4,130815-2-07,"Cornhusker Marching Band, reel 2.07","Notations on reel canister: ""Nebraska vs. Pittsburg 1930 Sports-Football 45-4-D 6:51""",,1930,"Military, Band, R.O.T.C. Cadet; Marching Band (Musical group); ",,16mm,Film: 16mm Safety Film,RG13-08-15,"Cornhusker Marching Band, Records",Unknown,,"For copyright information, please contact the repository.",,rg/rg13/rg13-08-15
130815-2-08.avi,130815-2-08.mp4,130815-2-08,"Cornhusker Marching Band, reel 2.08","Notations on reel canister: ""Rose Bowl UNL."" Accompanying notes: ""Rose Bowl, 1941: Parade, Football, Half-time design of bell, 3 bells with 'N' seen later in reel. 1941: Circus, 3-ring circus (2 small side rings not in full view) Clown, Giraffe, Elephant. Pitt game, 1938: Revolving Circle (Freshman Band in gray uniforms), Hearts. 1940: 'M' (for Missouri), Precision blocks, Bell, 3 bells with 'N'. 1941: Army show of Outline of United States, U.S. Shield.""",,1941,"Military, Band, R.O.T.C. Cadet; Marching Band (Musical group); ",,16mm,Film: 16mm Safety Film,RG13-08-15,"Cornhusker Marching Band, Records",Unknown,,"For copyright information, please contact the repository.",,rg/rg13/rg13-08-15
130815-2-09.avi,130815-2-09.mp4,130815-2-09,"Cornhusker Marching Band, reel 2.09","Accompanying notes: ""Orange Bowl, 1955 (whole reel): Nebr. Band entry, Duke Band entry, Miami U. Band entry, High school band entries, Football highlights, Massed high school bands in East stands., Precision Drill by Nebr. U Band, Some frames of Duke Band (in blue), Pageant.""",,1955,"Military, Band, R.O.T.C. Cadet; Marching Band (Musical group); ",,16mm,Film: 16mm Safety Film,RG13-08-15,"Cornhusker Marching Band, Records",Unknown,,"For copyright information, please contact the repository.",,rg/rg13/rg13-08-15
130815-2-10.avi,130815-2-10.mp4,130815-2-10,"Cornhusker Marching Band, reel 2.10","Notations on reel canister: ""#6.""",,1959,"Military, Band, R.O.T.C. Cadet; Marching Band (Musical group); ",,16mm,Film: 16mm Safety Film,RG13-08-15,"Cornhusker Marching Band, Records",Unknown,,"For copyright information, please contact the repository.",,rg/rg13/rg13-08-15
